obsID,CountyID,impactLevel,FloodSource,countyName,EARegion,AltCountyName,ObservationDate,ImpactLevelDescription,FloodSourceDescription
1806,17,2,R,Durham,Northeast - Leeds,Durham,06/12/2015,Significant,River
1806,29,2,R,Northumberland,Northeast - Leeds,Northumberland,06/12/2015,Significant,River
1797,33,3,R,Shropshire,Midlands - Solihull,Shropshire,06/12/2015,Minor,River
1797,61,3,R,Telford and Wrekin,Midlands - Solihull,Telford and Wrekin,06/12/2015,Minor,River
1797,41,3,R,Worcestershire,Midlands - Solihull,Worcestershire,06/12/2015,Minor,River
1797,20,3,R,Gloucestershire,Midlands - Solihull,Gloucestershire,06/12/2015,Minor,River
1793,13,2,R,Cumbria,Northwest - Warrington,Cumbria,07/12/2015,Significant,River
1793,24,2,R,Lancashire,Northwest - Warrington,Lancashire,07/12/2015,Significant,River
1793,29,2,R,Northumberland,Northeast - Leeds,Northumberland,07/12/2015,Significant,River
1798,20,3,R,Gloucestershire,Midlands - Solihull,Gloucestershire,07/12/2015,Minor,River
1798,33,3,R,Shropshire,Midlands - Solihull,Shropshire,07/12/2015,Minor,River
1798,41,3,R,Worcestershire,Midlands - Solihull,Worcestershire,07/12/2015,Minor,River
1800,30,3,R,North Yorkshire,Northeast - Leeds,N Yorkshire,07/12/2015,Minor,River
1800,55,3,R,York,Northeast - Leeds,York,07/12/2015,Minor,River
1795,11,3,R,Cheshire,Northwest - Warrington,Cheshire,07/12/2015,Minor,River
1801,55,3,R,York,Northeast - Leeds,York,08/12/2015,Minor,River
1802,13,3,R,Cumbria,Northwest - Warrington,Cumbria,08/12/2015,Minor,River
1803,11,3,R,Cheshire,Northwest - Warrington,Cheshire,08/12/2015,Minor,River
1805,30,3,R,North Yorkshire,Northeast - Leeds,N Yorkshire,09/12/2015,Minor,River
1805,55,3,R,York,Northeast - Leeds,York,09/12/2015,Minor,River
1804,11,3,R,Cheshire,Northwest - Warrington,Cheshire,09/12/2015,Minor,River
1804,13,2,R,Cumbria,Northwest - Warrington,Cumbria,09/12/2015,Significant,River
1804,24,2,R,Lancashire,Northwest - Warrington,Lancashire,09/12/2015,Significant,River
1804,13,2,S,Cumbria,Northwest - Warrington,Cumbria,09/12/2015,Significant,Surface water
1804,24,2,S,Lancashire,Northwest - Warrington,Lancashire,09/12/2015,Significant,Surface water
1812,11,3,R,Cheshire,Northwest - Warrington,Cheshire,10/12/2015,Minor,River
1812,13,3,R,Cumbria,Northwest - Warrington,Cumbria,10/12/2015,Minor,River
1812,24,3,R,Lancashire,Northwest - Warrington,Lancashire,10/12/2015,Minor,River
1814,30,3,R,North Yorkshire,Northeast - Leeds,N Yorkshire,10/12/2015,Minor,River
1814,55,3,R,York,Northeast - Leeds,York,10/12/2015,Minor,River
1813,11,3,R,Cheshire,Northwest - Warrington,Cheshire,11/12/2015,Minor,River
1816,30,3,R,North Yorkshire,Northeast - Leeds,N Yorkshire,12/12/2015,Minor,River
1815,95,3,R,Ceredigion,Wales,Ceredigion,12/12/2015,Minor,River
1815,90,3,R,Conwy,Wales,Conwy,12/12/2015,Minor,River
1815,7,3,R,Greater Manchester,Northwest - Warrington,Gtr Manchester,12/12/2015,Minor,River
1815,89,3,R,Gwynedd,Wales,Gwynedd,12/12/2015,Minor,River
1815,24,3,R,Lancashire,Northwest - Warrington,Lancashire,12/12/2015,Minor,River
1815,94,3,R,Powys,Wales,Powys,12/12/2015,Minor,River
